Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	LastDailyClose	itiBaseline	tradeSizeBaseline	Sentiment	ClerkArm	ClerkSentiment	Created	ArrivalDate	CurlTime	MktCap	DailyHigh($)	DailyHigh(%)	Headline-RBscore
TRAW	"[""TRAW""]"	nGNX371MY4	17:30:00.338	Traws Pharma Provides Regulatory Update on Influenza Program	Globe Newswire	11.42	NASDAQ	2026-06-12 17:30:00.638520	0.0833	0.0299	0.8868	0.0534	positive		0.3219	0.3407	0.2361	0.7886	0.2603	2026-06-12 17:30:01.359285	1.27	1145.6	735.1282	BAD	accepted:1005	sentiment_bad_released	17:30:00.099	2026-06-12			1.14	20.0	50
ATOS	"[""ATOS""]"	nPn1LP0HTa	17:31:08.809	Atossa Therapeutics Announces Closing of Registered Direct Offering of up to $16.5 Million in Gross Proceeds	PR Newswire	8.46	NASDAQ	2026-06-12 17:31:08.985931	0.1436	0.0252	0.8312	0.1184	positive		0.1915	0.1328	0.0827	0.29	0.0754	2026-06-12 17:31:09.524343	2.58	26600.0	327.491	BAD	accepted:1006	sentiment_bad_released	17:31:08.689	2026-06-12			2.63	6.05	72
PHR	"[""PHR""]"	nACSdx6Sla	19:45:01.298	Join Class Action to Recover Losses From Phreesia, Inc. (PHR) - Contact Levi & Korsinsky Before July 13, 2026	ACCESSWIRE	49.77	NYSE	2026-06-12 19:45:01.600859	0.1423	0.1086	0.7491	0.0338	neutral		-0.1428	-0.2533	-0.0751	0.5342	-0.1313	2026-06-12 19:45:02.088972	9.05	3601.4	24125.3485	BAD	accepted:1011	sentiment_bad_released	19:45:01.160	2026-06-12			9.46	4.42	25
RKDA	"[""RKDA""]"	nGNX2y43RZ	22:00:00.247	Arcadia Biosciences (RKDA) Announces Closing of $4 Million Private Placement Priced At-The-Market Under Nasdaq Rules	Globe Newswire	2.05	NASDAQ	2026-06-12 22:00:00.555191	0.0623	0.0491	0.8886	0.0131	neutral		0.1651	0.1758	0.0975	0.4011	0.0898	2026-06-12 22:00:01.044493	1.07	4405.5	386.643	BAD	accepted:1012	sentiment_bad_released	22:00:00.103	2026-06-12			1.1	12.24	75
MAX	"[""MAX""]"	nACStDfpla	06:36:01.272	$MAX Legal News: BFA Law Announces an Investigation Into The Board on Behalf of MediaAlpha Shareholders Following FTC Settlement	ACCESSWIRE	28.09	NYSE	2026-06-13 06:36:01.616376	0.1273	0.1712	0.7014	-0.0439	neutral		-0.0296	-0.039	-0.0123	0.3138	-0.0523	2026-06-13 06:36:02.070292	9.45	4953.6	8575.8704	BAD	accepted:1000	sentiment_bad_released	06:36:01.146	2026-06-13			9.92	4.97	30
PHR	"[""PHR""]"	nGNX6Bhrjd	08:10:00.298	PHR EQUITY ACTION REMINDER: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Lawsuit Deadline on July 13, 2026	Globe Newswire	49.77	NYSE	2026-06-13 08:10:00.630729	0.157	0.1382	0.7048	0.0189	neutral		-0.1557	-0.3031	-0.0969	0.223	-0.0429	2026-06-13 08:10:01.232405	9.06	2990.6	20873.2676	BAD	accepted:1001	sentiment_bad_released	08:10:00.102	2026-06-13			9.46	4.42	0
PHR	"[""PHR""]"	nACSMS2xYa	19:25:00.804	Class Action Lawsuit Alert: Levi & Korsinsky Reminds Phreesia, Inc. (PHR) Investors of July 13, 2026 Deadline	ACCESSWIRE	49.77	NYSE	2026-06-13 19:25:01.272038	0.1036	0.0669	0.8296	0.0367	neutral		-0.1508	-0.2561	-0.0811	0.5342	-0.1293	2026-06-13 19:25:01.721812	9.06	2990.6	20873.2676	BAD	accepted:1013	sentiment_bad_released	19:25:00.694	2026-06-13			9.46	4.42	0
MAX	"[""MAX""]"	nACSXy8RYa	06:46:01.029	$MAX Class Alert: MediaAlpha Shareholders have Rights in Pending Investigation into the Board Over the FTC Settlement - Contact BFA Law if You Hold Shares	ACCESSWIRE	28.09	NYSE	2026-06-14 06:46:01.309898	0.0969	0.0739	0.8292	0.0229	neutral		-0.0296	-0.0391	-0.0127	0.3138	-0.0533	2026-06-14 06:46:01.855107	9.45	5428.6	8575.8704	BAD	accepted:1003	sentiment_bad_released	06:46:00.887	2026-06-14			9.92	4.97	0
PHR	"[""PHR""]"	nNFC1wSphZ	08:40:11.752	PHR UPCOMING DEADLINE: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Lawsuit Deadline on July 13, 2026	Newsfile Corp	49.77	NYSE	2026-06-14 08:40:12.013334	0.1052	0.0908	0.804	0.0144	neutral		-0.2164	-0.3978	-0.1525	0.2642	-0.0703	2026-06-14 08:40:12.640538	9.06	3221.0	20873.2676	BAD	accepted:1000	sentiment_bad_released	08:40:11.616	2026-06-14	08:40:11.981		9.46	4.42	0
UPB	"[""UPB""]"	nGNX9GrdfW	10:00:00.332	Upstream Bio Presents New Responder Analyses Demonstrating Clinically Meaningful Improvements in CRSwNP in Significant Majority of Participants Treated with Verekitug in the Phase 2 VIBRANT Trial at EAACI 2026	Globe Newswire	36.29	NASDAQ	2026-06-14 10:00:00.726595	0.8033	0.0334	0.1633	0.7699	positive		0.6516	0.7173	0.618	0.8448	0.5662	2026-06-14 10:00:01.704492	6.1	9.9	162.723	OK	accepted:1001	sentiment_ack	10:00:00.140	2026-06-14	10:00:00.678		6.42	0.94	66
PHR	"[""PHR""]"	nACSnBWQwa	10:00:01.747	Investors Urged to Contact Levi & Korsinsky for Information Before July 13, 2026 – Phreesia, Inc. (PHR)	ACCESSWIRE	49.77	NYSE	2026-06-14 10:00:02.245555	0.0889	0.0455	0.8656	0.0434	neutral		-0.1508	-0.2562	-0.0812	0.5342	-0.1296	2026-06-14 10:00:03.118025	9.06	8.3	170.6064	BAD	accepted:1003	sentiment_bad_released	10:00:01.595	2026-06-14	10:00:02.169		9.46	4.42	42
PHR	"[""PHR""]"	nACS51pS4a	12:35:01.071	Class Action Lawsuit Filed Against Phreesia, Inc. (PHR) – Recover Losses – Contact Levi & Korsinsky Before July 13, 2026	ACCESSWIRE	49.77	NYSE	2026-06-14 12:35:01.356566	0.2433	0.4603	0.2964	-0.217	negative		-0.1508	-0.2562	-0.0812	0.5342	-0.1296	2026-06-14 12:35:01.750977	9.06	8.3	170.6064	OK	accepted:1018	sentiment_ack	12:35:00.955	2026-06-14	12:35:01.328		9.46	4.42	0
PHR	"[""PHR""]"	nPn1tNvcXa	17:29:00.130	Phreesia Deadline: PHR Investors with Losses in Excess of $100K Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit	PR Newswire	49.77	NYSE	2026-06-14 17:29:00.470296	0.145	0.0688	0.7862	0.0763	positive		0.148	0.1515	0.1129	0.539	0.0876	2026-06-14 17:29:00.890493	9.06	3221.0	20873.2676	BAD	accepted:1019	sentiment_bad_released	17:29:00.042	2026-06-14	17:29:00.448		9.46	4.42	0
CVM	"[""CVM""]"	nBwwcW6ra	19:03:00.222	CEL-SCI Corporation Announces Pricing of Offering	Business Wire	13.39	NYSE AMERICAN	2026-06-14 19:03:00.517586	0.1124	0.0241	0.8635	0.0883	positive		0.1353	0.0845	0.0757	0.4061	0.0969	2026-06-14 19:03:01.150007	1.08	3117.6	529.1636	BAD	accepted:1001	sentiment_bad_released	19:03:00.102	2026-06-14	19:03:00.503		1.07	0.0	62
PHR	"[""PHR""]"	nACSXLyGHa	00:45:01.125	Investors Urged to Contact Levi & Korsinsky for Information Before July 13, 2026 - Phreesia, Inc. (PHR)	ACCESSWIRE	49.77	NYSE	2026-06-15 00:45:01.432858	0.0468	0.0347	0.9185	0.0121	neutral		-0.1489	-0.2566	-0.0787	0.5342	-0.1394	2026-06-15 00:45:01.870493	9.06	3221.0	20873.2676	BAD	accepted:1000	sentiment_bad_released	00:45:01.028	2026-06-15	00:45:01.415		9.46	4.42	42
PHR	"[""PHR""]"	nACSwdFRja	03:15:02.697	Class Action Lawsuit Filed: Phreesia, Inc. (PHR) - Join by July 13, 2026 - Contact Levi & Korsinsky	ACCESSWIRE	49.77	NYSE	2026-06-15 03:15:02.990407	0.102	0.0306	0.8675	0.0714	positive		-0.1489	-0.2566	-0.0787	0.5342	-0.1394	2026-06-15 03:15:03.471176	9.06	3221.0	20873.2676	BAD	accepted:1001	sentiment_bad_released	03:15:02.594	2026-06-15	03:15:02.967		9.46	4.42	0
PHR	"[""PHR""]"	nPn1xQfHwa	03:39:00.133	Phreesia, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - PHR	PR Newswire	49.77	NYSE	2026-06-15 03:39:00.390524	0.1225	0.0861	0.7914	0.0364	neutral		0.07	0.1269	0.0483	0.5032	0.0303	2026-06-15 03:39:00.797841	9.06	3221.0	20873.2676	BAD	accepted:1002	sentiment_bad_released	03:39:00.044	2026-06-15	03:39:00.369		9.46	4.42	40
GENK	"[""GENK""]"	nGNX65FZ2B	05:45:00.224	GEN Restaurant Group Secures Retail Placement at Smart & Final Stores	Globe Newswire	4.82	NASDAQ	2026-06-15 05:45:00.534375	0.771	0.0341	0.1949	0.737	positive		0.2997	0.4063	0.1978	0.731	0.3029	2026-06-15 05:45:01.172038	2.1	18525.0	255.5549	OK	accepted:1000	sentiment_ack	05:45:00.098	2026-06-15	05:45:00.500		2.28	8.57	75
FENC	"[""FENC""]"	nGNXbwgGg9	06:00:00.501	Fennec Pharmaceuticals Announces Inducement Grants Under Nasdaq Listing Rule 5635(C)(4)	Globe Newswire	29.7	NASDAQ	2026-06-15 06:00:02.552591	0.141	0.0164	0.8425	0.1246	positive		0.235	0.283	0.144	0.5707	0.1815	2026-06-15 06:00:04.034480	9.0	17100.0	7290.9524	BAD	accepted:1001	sentiment_bad_released	06:00:00.196	2026-06-15	06:00:02.523		9.19	2.11	50
OWLS	"[""OWLS""]"	nGNX9rnWMs	06:00:00.958	OwlTing Group (NASDAQ: OWLS) and Credible Finance Partner to Open China Payment Corridor	Globe Newswire	17.1	NASDAQ	2026-06-15 06:00:02.868253	0.2848	0.0116	0.7036	0.2732	positive		0.5707	0.6484	0.5252	0.8848	0.5788	2026-06-15 06:00:04.226037	5.79	22800.0	800.8462	OK	accepted:1002	sentiment_ack	06:00:00.349	2026-06-15	06:00:02.833		5.88	1.55	73
CMTL	"[""CMTL""]"	nBw7Gxc3ha	06:00:01.065	Comtech Announces Definitive Agreement to Sell Most of Its Satellite and Space Communications Business to Gilat	Business Wire	26.76	NASDAQ	2026-06-15 06:00:02.950553	0.3251	0.0139	0.661	0.3112	positive		0.5416	0.6581	0.4979	0.8577	0.4558	2026-06-15 06:00:04.964115	4.83	9310.0	1254.9608	OK	accepted:1003	sentiment_ack	06:00:00.441	2026-06-15	06:00:02.897		6.13	24.59	50
MAX	"[""MAX""]"	nGNXbcng5X	06:33:00.407	MAX Shareholder News: MediaAlpha Investors may have Rights in Investigation over FTC Settlement – Current Shareholders Urged to Contact BFA Law	Globe Newswire	28.09	NYSE	2026-06-15 06:33:01.144055	0.1872	0.1575	0.6553	0.0297	neutral		-0.0358	-0.0492	-0.0158	0.3267	-0.0554	2026-06-15 06:33:01.745902	9.45	5428.6	8575.8704	BAD	accepted:1004	sentiment_bad_released	06:33:00.180	2026-06-15	06:33:01.114		9.92	4.97	22
SEAT	"[""SEAT""]"	nGNX7yV8j0	07:00:00.339	Housecall Pro Appoints Stan Chia as Chief Executive Officer	Globe Newswire	3.87	NASDAQ	2026-06-15 07:00:00.751275	0.0633	0.0404	0.8964	0.0229	neutral		0.5166	0.5927	0.4152	0.7752	0.2906	2026-06-15 07:00:01.302548	7.76	11400.0	1380.1667	BAD	accepted:1005	sentiment_bad_released	07:00:00.198	2026-06-15	07:00:00.738		8.23	4.05	50
JG	"[""JG""]"	nGNX5kc8VN	07:00:00.775	Aurora Mobile’s Modellix Launches Vidu Q3-Mix to Enhance Content Production Efficiency Across Advertising, E-Commerce, and AI Drama	Globe Newswire	4.31	NASDAQ	2026-06-15 07:00:05.632582	0.5988	0.0109	0.3903	0.5879	positive		0.2302	0.3126	0.1854	0.7504	0.2371	2026-06-15 07:00:06.214377	5.11	25650.0	140.3333	OK	accepted:1006	sentiment_ack	07:00:00.294	2026-06-15	07:00:05.604		5.25	2.74	58
VENU	"[""VENU""]"	nBw85fRw0a	07:00:02.384	VENU Plans $80 Million Sale-Leaseback Financing for Parking Garage Asset at Sunset Amphitheater in McKinney, Texas	Business Wire	42.96	NYSE AMERICAN	2026-06-15 07:00:11.052457	0.2763	0.0146	0.7091	0.2617	positive		0.3543	0.4241	0.2952	0.6507	0.3196	2026-06-15 07:00:11.563334	3.42	4944.9	905.0175	OK	accepted:1007	sentiment_ack	07:00:00.563	2026-06-15	07:00:11.030		3.54	6.31	75
SEER	"[""SEER""]"	nGNX4J98md	07:00:03.355	Seer Board of Directors Issues Letter to Shareholders Highlighting the Company’s Significant Scientific Progress and Addressing Radoff and Torok’s Short-Sighted Campaign	Globe Newswire	31.23	NASDAQ	2026-06-15 07:00:11.915871	0.7745	0.0332	0.1923	0.7413	positive		0.3876	0.4892	0.3181	0.8939	0.204	2026-06-15 07:00:13.363940	1.72	16625.0	8303.75	OK	accepted:1009	sentiment_ack	07:00:01.085	2026-06-15	07:00:11.886		1.77	2.91	50
LTBR	"[""LTBR""]"	nGNX5mWN4M	07:00:03.295	Lightbridge to Participate in Upcoming Investor and Nuclear Industry Events	Globe Newswire	33.05	NASDAQ	2026-06-15 07:00:11.839122	0.1486	0.011	0.8403	0.1376	positive		0.3495	0.4179	0.2255	0.7016	0.2283	2026-06-15 07:00:13.379244	9.4	453.3	1201.2082	BAD	accepted:1008	sentiment_bad_released	07:00:01.337	2026-06-15	07:00:11.796		10.35	8.72	42
KTTA	"[""KTTA"", ""KTTAW""]"	nGNX92k6hJ	07:02:00.203	Pasithea Therapeutics Announces Exhibit at Children’s Tumor Foundation 2026 NF Conference	Globe Newswire	30.58	NASDAQ	2026-06-15 07:02:00.330557	0.1	0.0495	0.8505	0.0506	positive		0.1529	0.2998	0.1175	0.6145	0.2162	2026-06-15 07:02:01.303198	0.5911	3927.7	1078.8974	BAD	accepted:1014	sentiment_bad_released	07:02:00.084	2026-06-15	07:02:00.312		0.6	-1.64	50
LFCR	"[""LFCR""]"	nGNX4lkRyS	07:05:00.249	Lifecore Biomedical Signs New Agreement with Global Pharmaceutical Company	Globe Newswire	33.79	NASDAQ	2026-06-15 07:05:00.408947	0.7753	0.0222	0.2025	0.7531	positive		0.4382	0.5289	0.3021	0.8273	0.4173	2026-06-15 07:05:01.131443	5.64	19950.0	3510.7708	OK	accepted:1015	sentiment_ack	07:05:00.129	2026-06-15	07:05:00.388		5.86	3.9	58
NIXX	"[""NIXX""]"	nBw4PTYQya	07:10:00.223	Tachyon9 Announces Strategic Partnership with Yotta Data Services Parent Nidar Infrastructure to Anchor Nakota AI Data Campus	Business Wire	24.13	NASDAQ	2026-06-15 07:10:00.386104	0.7011	0.0104	0.2885	0.6907	positive		0.597	0.663	0.5712	0.8236	0.6086	2026-06-15 07:10:01.173654	0.87	674.1	623.2386	OK	accepted:1016	sentiment_ack	07:10:00.092	2026-06-15	07:10:00.366		1.74	93.33	87
DYAI	"[""DYAI""]"	nGNX4yZqz2	07:25:00.371	Dyadic Highlights Accelerated Interest in C1 Biomanufacturing Platform Amid Ebola Preparedness Activities and Growing Commercial Adoption	Globe Newswire	27.08	NASDAQ	2026-06-15 07:25:00.678502	0.8577	0.0094	0.1329	0.8482	positive		0.4063	0.4928	0.4063	0.7645	0.459	2026-06-15 07:25:01.277381	0.682	11780.0	777.5	OK	accepted:1017	sentiment_ack	07:25:00.135	2026-06-15	07:25:00.648		0.8	17.65	64
DFLI	"[""DFLI"", ""DFLIW""]"	nGNX2nQjwg	07:30:00.321	Dragonfly Energy Receives European Patent Allowance for Advancing Dry Electrode and Solid-State Battery Manufacturing	Globe Newswire	12.62	NASDAQ	2026-06-15 07:30:00.519708	0.4902	0.0105	0.4993	0.4797	positive		0.4478	0.5191	0.2693	0.8337	0.2957	2026-06-15 07:30:01.325231	1.73	1210.9	750.9237	OK	accepted:1018	sentiment_ack	07:30:00.173	2026-06-15	07:30:00.505		2.07	12.5	50
MDCX	"[""MDCX""]"	nGNXc87fVQ	07:30:00.815	Medicus Pharma Announces U.S. Food and Drug Administration (FDA) Submission of Rare Pediatric Disease Designation Request for SkinJect® in Gorlin Syndrome	Globe Newswire	10.24	NASDAQ	2026-06-15 07:30:03.197356	0.5286	0.1188	0.3526	0.4098	positive		0.386	0.5096	0.3685	0.7791	0.3456	2026-06-15 07:30:03.872099	0.3377	603.9	1267.0904	OK	accepted:1019	sentiment_ack	07:30:00.341	2026-06-15	07:30:03.166		0.36	5.88	50
RILY	"[""RILY""]"	nPn9Bp93qa	07:31:00.172	BRC Group Holdings, Inc. Provides Update on SpaceX Carried Interest Position	PR Newswire	27.36	NASDAQ	2026-06-15 07:31:00.264919	0.0843	0.0332	0.8825	0.0511	positive		0.056	0.0308	0.0457	0.14	0.0532	2026-06-15 07:31:00.790941	8.72	3474.3	2831.6887	BAD	accepted:1000	sentiment_bad_released	07:31:00.043	2026-06-15	07:31:00.234		9.32	6.88	50
HURA	"[""HURA""]"	nPnbYQkFDa	07:49:25.985	TuHURA Biosciences Files Investigational New Drug Application for Evaluation of the TBS-2025 VISTA Inhibiting Antibody in Molecularly Defined Subsets of AML and Other Blood Related Cancers	PR Newswire	41.62	NASDAQ	2026-06-15 07:49:26.212717	0.5659	0.0202	0.4138	0.5457	positive		0.4321	0.5347	0.4149	0.8003	0.3521	2026-06-15 07:49:26.929028	2.32	8075.0	2441.8571	OK	accepted:1001	sentiment_ack	07:49:25.784	2026-06-15	07:49:26.188		2.48	7.83	50
CHAI	"[""CHAI""]"	nGNX3VNc5r	07:50:00.156	Core AI Holdings Appoints John Clinton Haley Former Meta Leader to Advisory Board	Globe Newswire	6.99	NASDAQ	2026-06-15 07:50:00.228758	0.1196	0.0493	0.8311	0.0703	positive		0.5168	0.6257	0.4168	0.8287	0.408	2026-06-15 07:50:00.764043	1.32	32.6	268.8059	BAD	accepted:1003	sentiment_bad_released	07:50:00.031	2026-06-15	07:50:00.217		1.76	35.38	58
ENLV	"[""ENLV"", ""1BTG""]"	nGNX1ggWXq	08:00:00.259	Enlivex Announces Issuance of Australian Patent Covering the Use of Allocetra™  in Patients with Osteoarthritis	Globe Newswire	35.12	NASDAQ	2026-06-15 08:00:00.527534	0.4261	0.0206	0.5533	0.4054	positive		0.2341	0.3118	0.1841	0.6371	0.2834	2026-06-15 08:00:01.777623	0.6701	4234.3	883.8393	OK	accepted:1002	sentiment_ack	08:00:00.064	2026-06-15	08:00:00.500		0.71	5.97	50
AFCG	"[""AFCG""]"	nGNX90qTX0	08:00:00.477	AFC Announces Dividend for the Second Quarter 2026	Globe Newswire	14.29	NASDAQ	2026-06-15 08:00:02.812005	0.0286	0.0485	0.9229	-0.0199	neutral		0.1267	0.1322	0.0856	0.1885	0.0721	2026-06-15 08:00:03.007601	3.42	22800.0	1639.0	BAD	accepted:1004	sentiment_bad_released	08:00:00.132	2026-06-15	08:00:02.795		3.54	3.51	50
CD	"[""CD""]"	nGNX78KGtR	08:00:00.774	Chaince Digital Announces Launch of USDC Yield Vault on Morpho Curated by AlphaPing	Globe Newswire	45.4	NASDAQ	2026-06-15 08:00:03.833189	0.2111	0.016	0.7729	0.1951	positive		0.288	0.3804	0.2108	0.675	0.2135	2026-06-15 08:00:04.352178	4.75	7641.9	828.3661	OK	accepted:1005	sentiment_ack	08:00:00.121	2026-06-15	08:00:03.814		5.25	10.53	50
RECT	"[""RECT""]"	nGNX9l7dLh	08:00:01.341	Rectitude Holdings Ltd Secures Additional AIMS System Orders for Major Infrastructure and Residential Projects Across Singapore	Globe Newswire	2.4	NASDAQ	2026-06-15 08:00:04.504725	0.9378	0.0167	0.0455	0.9211	positive		0.4438	0.5628	0.406	0.8455	0.4399	2026-06-15 08:00:05.145611	1.2	3265.5	264.6721	OK	accepted:1008	sentiment_ack	08:00:00.212	2026-06-15	08:00:04.488		1.5	14.5	68
KUST	"[""KUST""]"	nGNX55vBWj	08:00:01.439	Kustom Entertainment Announces Major Ticket Inventory Updates for Country Stampede Kansas 2026 in Bonner Springs, Kansas	Globe Newswire	0.58	NASDAQ	2026-06-15 08:00:04.633139	0.1285	0.0971	0.7745	0.0314	neutral		0.3733	0.5107	0.2866	0.8089	0.3589	2026-06-15 08:00:05.402308	1.68	814.2	349.3093	BAD	accepted:1011	sentiment_bad_released	08:00:00.293	2026-06-15	08:00:04.616		1.8	7.78	50
BYRN	"[""BYRN""]"	nGNX82rLBN	08:00:01.603	Byrna Technologies Realigns Sales and Marketing Function to Strengthen Brand Messaging and Accelerate Retail Expansion; Appoints HLK as Agency of Record	Globe Newswire	17.76	NASDAQ	2026-06-15 08:00:06.151203	0.5816	0.0107	0.4078	0.5709	positive		0.4694	0.5167	0.3326	0.7624	0.3696	2026-06-15 08:00:06.945216	6.35	5826.7	2939.2075	OK	accepted:1013	sentiment_ack	08:00:00.236	2026-06-15	08:00:06.128		6.56	3.31	50
SUNS	"[""SUNS""]"	nGNX3Sh1FH	08:00:01.791	Sunrise Realty Trust Announces Dividend for the Second Quarter 2026	Globe Newswire	9.67	NASDAQ	2026-06-15 08:00:07.354183	0.1116	0.0794	0.809	0.0321	neutral		0.1752	0.2241	0.1239	0.3768	0.0892	2026-06-15 08:00:07.898912	8.54	19950.0	2406.9333	BAD	accepted:1006	sentiment_bad_released	08:00:00.373	2026-06-15	08:00:07.339		8.78	2.81	50
SMWB	"[""SMWB"", ""63X""]"	nBw6dxvRza	08:00:01.770	Similarweb Secures Multi-Year, Seven-Figure ARR Contracts Worth Approximately $47 Million in Total Contract Value	Business Wire	34.35	NYSE	2026-06-15 08:00:07.236994	0.6874	0.0199	0.2927	0.6675	positive		0.4486	0.5607	0.3163	0.8315	0.4181	2026-06-15 08:00:08.185953	4.38	9608.6	5812.3333	OK	accepted:1014	sentiment_ack	08:00:00.372	2026-06-15	08:00:07.217		5.43	19.34	86
QUCY	"[""QUCY"", ""4TO""]"	nGNXbnkfHN	08:00:02.449	Quantum Cyber Executes Exclusive Quantum Antenna License Agreement, Positoning the Quantum Technology Layer at the Core of Its Defense Platform	Globe Newswire	19.49	NASDAQ	2026-06-15 08:00:09.236758	0.1926	0.0108	0.7965	0.1818	positive		0.4477	0.4714	0.2914	0.7132	0.2843	2026-06-15 08:00:10.748932	1.73	66.1	371.5889	BAD	accepted:1010	sentiment_bad_released	08:00:00.459	2026-06-15	08:00:09.219		2.36	33.33	56
VWAV	"[""VWAV"", ""VWAVW""]"	nGNX52LVQT	08:00:02.497	VisionWave Holdings Files U.S. Patent Application for SDNN™ Symbiotic Deep Neural Network Architecture for Autonomous Defense and Intelligent Systems	Globe Newswire	16.3	NASDAQ	2026-06-15 08:00:09.289638	0.4368	0.0171	0.5462	0.4197	positive		0.2129	0.1995	0.1452	0.414	0.1623	2026-06-15 08:00:11.090814	4.82	914.4	410.7263	OK	accepted:1012	sentiment_ack	08:00:00.305	2026-06-15	08:00:09.252		5.17	6.6	50
IVDA	"[""IVDA""]"	nBw4gsmqDa	08:00:02.636	Iveda Introduces High-Precision Real-Time Location Upgrade with 10cm Accuracy and New AoA Sensors	Business Wire	10.63	NASDAQ	2026-06-15 08:00:09.435516	0.2263	0.0097	0.7639	0.2166	positive		0.2946	0.3388	0.2364	0.7455	0.2989	2026-06-15 08:00:11.550852	0.2809	1026.4	818.5794	OK	accepted:1015	sentiment_ignored	08:00:00.572	2026-06-15	08:00:09.421		0.56	93.1	50
COYA	"[""COYA""]"	nBw9v3Czpa	08:00:03.037	Coya Therapeutics to Host Virtual Webinar on the Intersection of Repetitive Head Trauma, Brain Inflammation and Neurodegenerative Disease	Business Wire	20.01	NASDAQ	2026-06-15 08:00:09.687914	0.1355	0.0194	0.8451	0.1162	positive		0.1471	0.1717	0.0831	0.3474	0.0814	2026-06-15 08:00:11.797474	4.74	26600.0	995.8333	BAD	accepted:1016	sentiment_bad_released	08:00:00.693	2026-06-15	08:00:09.652		4.94	5.11	50
SEER	"[""SEER""]"	nBw4h3cjva	08:00:03.530	The Radoff-JEC Group Highlights Seer Inc.’s and Chairman and CEO Omid Farokhzad, M.D.’s History of Value Destruction	Business Wire	31.23	NASDAQ	2026-06-15 08:00:10.285325	0.2385	0.0965	0.6649	0.142	positive		-0.3741	-0.5537	-0.2333	0.1133	-0.2353	2026-06-15 08:00:12.550020	1.72	16625.0	8303.75	OK	accepted:1019	sentiment_ack	08:00:01.838	2026-06-15	08:00:10.154		1.77	2.91	50
TELO	"[""TELO""]"	nACSGytzXa	08:00:03.428	Telomir Pharmaceuticals Announces Peer-Reviewed Publication in Biomedicine & Pharmacotherapy Demonstrating Restoration of Insulin Sensitivity with Telomir-Zn in a Preclinical Type 2 Diabetes Model	ACCESSWIRE	18.49	NASDAQ	2026-06-15 08:00:10.156525	0.8356	0.0305	0.1339	0.8051	positive		0.2715	0.3505	0.2596	0.8552	0.2639	2026-06-15 08:00:12.578191	1.26	4306.7	637.0127	OK	accepted:1017	sentiment_ack	08:00:00.949	2026-06-15	08:00:10.004		1.31	3.97	50
PAVS	"[""PAVS""]"	nACSgCjw4a	08:00:03.554	Paranovus Entertainment Technology Limited Signs Non-Binding Letter of Intent to Acquire Jabanero Inc.	ACCESSWIRE	0.99	NASDAQ	2026-06-15 08:00:10.235171	0.5691	0.0189	0.412	0.5502	positive		0.3766	0.5343	0.2579	0.8199	0.2478	2026-06-15 08:00:13.485012	0.208	0.7	497.3161	OK	accepted:1000	sentiment_ignored	08:00:01.567	2026-06-15	08:00:10.191		0.62	226.32	70
JRSH	"[""JRSH""]"	nACSgGyRWa	08:00:04.063	Jerash Holdings Reports Financial Results for Fiscal 2026 Fourth Quarter and Full Year	ACCESSWIRE	6.33	NASDAQ	2026-06-15 08:00:10.586535	0.1151	0.0756	0.8092	0.0395	neutral		0.6365	0.7588	0.6365	0.9279	0.5396	2026-06-15 08:00:13.708524	3.46	34200.0	851.0	BAD	accepted:1018	sentiment_bad_released	08:00:01.493	2026-06-15	08:00:10.514		9.96	187.86	50
MEHA	"[""MEHA""]"	nNFCbYtmlj	08:00:13.408	Functional Brands Inc. Receives Nasdaq Staff Delisting Determination	Newsfile Corp	39.57	NASDAQ	2026-06-15 08:00:16.210880	0.0423	0.2796	0.6782	-0.2373	negative		0.0078	-0.0342	0.0103	0.3239	-0.017	2026-06-15 08:00:16.859341	0.0414	59.4	2351.8716	BAD	accepted:1003	sentiment_bad_released	08:00:13.075	2026-06-15	08:00:16.190				50
DOMH	"[""DOMH""]"	nPn3H8pHMa	08:00:43.641	Dominari Securities Raises $200,000,000.00 in World's Largest IPO	PR Newswire	8.84	NASDAQ	2026-06-15 08:00:43.723825	0.6701	0.0141	0.3159	0.656	positive		0.5946	0.6151	0.3994	0.8367	0.4624	2026-06-15 08:00:44.227689	3.16	9690.0	988.28	OK	accepted:1001	sentiment_ack	08:00:43.543	2026-06-15	08:00:43.707		3.5	14.75	40
WNC	"[""WNC""]"	nBw3jWG0na	08:01:00.310	Wabash Partners with Transport Trailer Sales Inc. to Expand Canadian Dealer Network	Business Wire	38.45	NYSE	2026-06-15 08:01:00.408304	0.7777	0.0077	0.2146	0.7699	positive		0.6911	0.7351	0.5961	0.8411	0.6321	2026-06-15 08:01:01.343087	9.71	4139.3	11168.8594	OK	accepted:1011	sentiment_ack	08:01:00.178	2026-06-15	08:01:00.394		10.33	6.39	58
